Section,Title,Content
1,Nonproprietary Names,BP: Sodium Propionate
2,Synonyms,"E281; ethylformic acid, sodium salt, hydrate; methylacetic acid, sodium salt, hydrate;"
3,Chemical Name and CAS Registry Number,"Propionic acid, sodium salt, hydrate [6700-17-0]"
4,Empirical Formula and Molecular Weight,C₃H₅NaO₂ℂxH₂O       114.06 (for monohydrate)
5,Structural Formula,ONa
6,Functional Category,Antimicrobial preservative.
7,Applications in Pharmaceutical Formulation or Technology,"As an excipient, sodium propionate is used in oral pharmaceutical formulations as an"
8,Description,"Sodium propionate occurs as colorless transparent crystals or as a granular, free-flowing,"
9,Pharmacopeial Specifications,See Table I.
Identification,þ,þ
Characters,þ,—
Appearance of solution,þ,—
Alkalinity,—,þ
pH,7.8–9.2,—
Water,—,41.0%
Heavy metals,410 ppm,40.001%
Related substances,þ,—
Readily oxidizable substances,þ,—
Iron,410 ppm,—
Loss on drying,0.5%,—
Assay (dried basis),99.0–101.0%,99.0–100.5%
