**Parameter**,**Value**
Long-term (8-hour TWA),31 mg/m³ (10 ppm)
Short-term,46 mg/m³ (15 ppm)
**Regulatory Status**,"GRAS listed. Accepted for use as a food additive in Europe. In cheese products, propionates are limited to 0.3% w/w concentration; a limit of 0.32% w/w is applied in flour and white bread rolls, while a limit of 0.38% w/w is applied in whole wheat products. Included in the FDA Inactive Ingredients Database (oral capsules, powder, suspensions, and syrups). Included in nonparenteral medicines licensed in the UK. Included in the Canadian List of Acceptable Non-medicinal Ingredients."
**Related Substances**,Anhydrous sodium propionate; calcium propionate; potassium propionate; propionic acid; zinc propionate.
Empirical formula,C₃H₅O₂Na
Molecular weight,96.06
CAS number,[137-40-6]
Synonyms,"E281; propanoic acid, sodium salt, anhydrous."
"LD₅₀ (mouse, oral)",2.35 g/kg (4)
"LD₅₀ (rat, oral)",3.92 g/kg
Empirical formula,C₆H₁₀O₄Ca
Molecular weight,186.22
CAS number,[4075-81-4]
Synonyms,"Calcium dipropionate; E282; propanoic acid, calcium salt; propionic acid, calcium salt."
Appearance,White crystalline powder.
Solubility,Soluble in water; slightly soluble in ethanol (95%) and methanol; practically insoluble in acetone and benzene.
Method of manufacture,Prepared by the reaction of propionic acid and calcium hydroxide.
Comments,Occurs as the monohydrate or trihydrate.
Empirical formula,C₃H₅O₂K
Molecular weight,112.17
CAS number,[327-62-8]
Synonyms,"E283; propanoic acid, potassium salt; propionic acid, potassium salt."
Appearance,White crystalline powder.
Comments,Occurs as the anhydrous form and the monohydrate. Decomposes in moist air to give off propionic acid.
Empirical formula,C₁H₆O₄Zn
Molecular weight,211.52
CAS number,[557-28-8]
Synonyms,"Propanoic acid, zinc salt; propionic acid, zinc salt."
Appearance,White platelets or needlelike crystals (for the monohydrate).
Solubility,"The anhydrous form is soluble 1 in 36 of ethanol (95%) at 158°C, 1 in 6 of boiling ethanol (95%), and 1 in 3 of water at 158°C."
Method of manufacture,Prepared by dissolving zinc oxide in dilute propionic acid solution.
Comments,Occurs as the anhydrous form and the monohydrate. Decomposes in moist air to give off propionic acid.
**Comments**,Propionates are used as antimicrobial preservatives in preference to propionic acid since they are less corrosive.
