No.,Authors,Title,Journal,Year,Volume,Pages
2,Stewart AG et al.,The release of a model low-dose drug (riboflavine) from hard gelatin capsule formulations.,J Pharm Pharmacol,1979,31,1–6
3,"Chowhan ZT, Chi L-H.",Drug–excipient interactions resulting from powder mixing III: solid state properties and their effect on drug dissolution.,J Pharm Sci,1986,75,534–541
4,"Botzolakis JE, Augsburger LL.",Disintegrating agents in hard gelatin capsules part 1: mechanism of action.,Drug Dev Ind Pharm,1988,14(1),29–41
26,Bolhuis GK et al.,On the similarity of sodium starch glycolate from different sources.,Drug Dev Ind Pharm,1986,12(4),621–630
27,Rudnic EM et al.,Effect of molecular structure variation on the disintegrant action of sodium starch glycolate.,J Pharm Sci,1985,74,647–650
28,Bolhuis GK et al.,"Effect of variation of degree of substitution, crosslinking and purity on the disintegrant efficiency of sodium starch glycolate.",Acta Pharm Technol,1984,30,24–32
29,"Claudius JS, Neau SH.",Kinetic and equilibrium characterization of interactions between glycopeptide antibiotics and sodium carboxymethyl starch.,Int J Pharm,1996,144,71–79
30,"Claudius JS, Neau SH.",The solution stability of vancomycin in the presence and absence of sodium carboxymethyl starch.,Int J Pharm,1998,168,41–48
31,Cordoba-Borrego M et al.,Validation of a high performance liquid chromatographic method for the determination of norfloxacin and its application to stability studies (photostability study of norfloxacin).,J Pharm Biomed Anal,1999,18,919–926
32,Gordon MS et al.,Effect of the mode of super disintegrant incorporation on dissolution in wet granulated tablets.,J Pharm Sci,1993,82,220–226
11,"Cid E, Jaminet F.",[Influence of adjuvants on the dissolution rate and stability of acetylsalicylic acid in compressed tablets.],J Pharm Belg,1971,26,38–48
12,"Gordon MS, Chowhan ZT.",Effect of tablet solubility and hygroscopicity on disintegrant efficiency in direct compression tablets in terms of dissolution.,J Pharm Sci,1987,76,907–909
13,Cordoba-Diaz M et al.,Influence of pharmacotechnical design on the interaction and availability of norfloxacin in directly compressed tablets with certain antacids.,Drug Dev Ind Pharm,2000,26,159–166
14,Sekulovic D et al.,The investigation of the influence of Explotab on the disintegration of tablets.,Pharmazie,1986,41,153–154
15,Bolhius GK et al.,Improvement of dissolution of poorly soluble drugs by solid deposition on a super disintegrant. Part 2. Choice of super disintegrants and effect of granulation.,Eur J Pharm Sci,1997,5(2),63–69
24,"Gordon MS, Chowhan ZT.","The effect of aging on disintegrant efficiency in direct compression tablets with varied solubility and hygroscopicity, in terms of dissolution.",Drug Dev Ind Pharm,1990,16(3),437–447
